event_id,step,txn_type,amount,risk_score,severity,ml_score,is_alert,label_is_fraud
deecaff5e7169a32baa630ee57259156a44d57b3,298,CASH_OUT,2260074.83,0.0001227444852702,low,0.0003068612131755,False,0
e885ca5eb6af0c75b758de295980c64fa6b5dda4,155,CASH_IN,1000806.46,5.563600279856473e-06,low,1.3909000699641185e-05,False,0
a4a9066f69f5d8e4902ed08601bced5e3480532f,402,TRANSFER,181533.05,0.2734682063629344,high,2.9455512049025856e-05,True,0
03c032e881dd03b6a32d76d70f73ff11bf98acaa,129,TRANSFER,425309.04,0.42370457947323564,high,5.198187864152715e-06,True,0
f1dc047c99b036127dc4f05add19f1d09e2bb19b,135,TRANSFER,2540779.73,0.2872145128846168,low,0.0467862822115421,True,0
0f2db7ed1249e483a94d92e1b50695b72f60edc7,249,PAYMENT,6875.77,9.714332554722206e-06,low,2.4285831386805512e-05,False,0
0ac94d3760afe4dc0ce888b593506d59c1eea08d,587,PAYMENT,59505.0,1.1688277481880506e-06,low,2.922069370470126e-06,False,0
c586f7e96bb516b26bc2595995235b33918d68cb,260,CASH_OUT,708568.96,0.0008588851429522,low,0.0021472128573805,False,0
4462d6d85b5b128b4325240dd487fa0cc5bc3f82,331,TRANSFER,40473.99,0.2238655846768614,high,3.4789372875820845e-05,True,0
1d6a51b4413e4f5f5da0b26dfb5c262091ee5e4f,305,PAYMENT,129569.5,5.8286869898438456e-05,low,0.000145717174746,False,0
26ec14c9fcd14f405caf1d95bdb00aecc6e230ac,325,TRANSFER,979350.22,0.2880915019375803,high,0.000526824966073,True,0
a7232ab17cb14b05aca1dcef8c8282620dab5683,321,TRANSFER,1334835.9,0.4667969856421955,high,1.6076030078693293e-05,True,0
23db0236d9dd2bd5079ea2d4d124b5d532f05469,522,TRANSFER,1467797.92,0.0901284304191358,low,0.0003210760478395,False,0
ba3914fe32d0673f92b29f405e52abd258e8e0ff,250,CASH_IN,165367.61,1.4849787476123312e-06,low,3.712446869030828e-06,False,0
09032ad60115fab65967423a26fc70f08ae89e33,287,PAYMENT,28812.63,2.398669457761571e-05,low,5.996673644403927e-05,False,0
8bd4e8c8ac41b136a22d9843961e7546b0b79c29,203,TRANSFER,37397.89,0.41269195427676075,high,2.149642568838317e-05,True,0
3604e177bf1628b4c2dee6f44bf097dc6940abd2,684,TRANSFER,64010.81,0.4844502871611304,high,1.4954516700527163e-05,True,0
8dbcefdaf7b15a1b405d8f877df3928844c08e4a,159,CASH_IN,754820.82,6.526886863866821e-06,low,1.6317217159667052e-05,False,0
6efa83f05b4005c72c44da79c4473121f2b55cd1,137,TRANSFER,96288.35,0.29801185442476563,high,0.0004076545592397,True,0
08e1ad82b52ead2e4540e97a3a744df7f5609419,396,TRANSFER,141414.3,0.2706101709349857,high,0.0005212282412685,True,0
eb673d6f2914ae871bec7bceb6ba765605112e3e,177,TRANSFER,1130548.91,0.3179795847363515,high,1.1361040378687903e-05,True,0
fa1f9c791e6e721bcd2d901ed799f77a8815baa2,402,PAYMENT,2368.39,2.849454358511139e-06,low,7.123635896277847e-06,False,0
133b10abfc3df97dd736e007c2fe0b49c2368e05,254,PAYMENT,120349.62,1.1442301911301913e-05,low,2.8605754778254777e-05,False,0
